Kod;Miasto;Rok;Kategoria;Powierzchnia_ha
0663000;Powiat m. Lublin;2018;parki spacerowo - wypoczynkowe;186,00
0663000;Powiat m. Lublin;2019;parki spacerowo - wypoczynkowe;166,00
0663000;Powiat m. Lublin;2020;parki spacerowo - wypoczynkowe;186,00
0663000;Powiat m. Lublin;2021;parki spacerowo - wypoczynkowe;186,00
0663000;Powiat m. Lublin;2022;parki spacerowo - wypoczynkowe;186,00
0663000;Powiat m. Lublin;2018;zieleńce;105,00
0663000;Powiat m. Lublin;2019;zieleńce;105,00
0663000;Powiat m. Lublin;2020;zieleńce;105,00
0663000;Powiat m. Lublin;2021;zieleńce;105,00
0663000;Powiat m. Lublin;2022;zieleńce;105,73
0663000;Powiat m. Lublin;2018;zieleń uliczna;512,00
0663000;Powiat m. Lublin;2019;zieleń uliczna;530,00
0663000;Powiat m. Lublin;2020;zieleń uliczna;530,00
0663000;Powiat m. Lublin;2021;zieleń uliczna;530,00
0663000;Powiat m. Lublin;2022;zieleń uliczna;529,42
0663000;Powiat m. Lublin;2018;tereny zieleni osiedlowej;505,25
0663000;Powiat m. Lublin;2019;tereny zieleni osiedlowej;504,03
0663000;Powiat m. Lublin;2020;tereny zieleni osiedlowej;503,95
0663000;Powiat m. Lublin;2021;tereny zieleni osiedlowej;503,88
0663000;Powiat m. Lublin;2022;tereny zieleni osiedlowej;493,77
0663000;Powiat m. Lublin;2018;parki, zieleńce i tereny zieleni osiedlowej;796,25
0663000;Powiat m. Lublin;2019;parki, zieleńce i tereny zieleni osiedlowej;775,03
0663000;Powiat m. Lublin;2020;parki, zieleńce i tereny zieleni osiedlowej;794,95
0663000;Powiat m. Lublin;2021;parki, zieleńce i tereny zieleni osiedlowej;794,88
0663000;Powiat m. Lublin;2022;parki, zieleńce i tereny zieleni osiedlowej;785,50
0663000;Powiat m. Lublin;2018;cmentarze;76,10
0663000;Powiat m. Lublin;2019;cmentarze;76,10
0663000;Powiat m. Lublin;2020;cmentarze;91,31
0663000;Powiat m. Lublin;2021;cmentarze;91,31
0663000;Powiat m. Lublin;2022;cmentarze;91,31
0663000;Powiat m. Lublin;2018;lasy gminne;1,97
0663000;Powiat m. Lublin;2019;lasy gminne;1,97
0663000;Powiat m. Lublin;2020;lasy gminne;2,25
0663000;Powiat m. Lublin;2021;lasy gminne;2,02
0663000;Powiat m. Lublin;2022;lasy gminne;1,94